PID,BIAS,RELATEDNESS,REPS,MS
5,subordinate,unrelated,long,1121
5,subordinate,unrelated,long,1126
5,subordinate,unrelated,long,1166
5,subordinate,unrelated,long,
5,subordinate,unrelated,long,1727
5,subordinate,unrelated,long,4744
5,subordinate,unrelated,short,662
5,subordinate,unrelated,short,803
5,subordinate,unrelated,short,972
5,subordinate,unrelated,short,1013
5,subordinate,unrelated,short,1156
5,subordinate,unrelated,short,1677
5,subordinate,unrelated,short,1716
5,subordinate,unrelated,short,1828
5,subordinate,unrelated,short,2132
6,dominant,related,long,824
6,dominant,related,long,969
6,dominant,related,long,983
6,dominant,related,long,1079
6,dominant,related,long,1136
6,dominant,related,long,1255
6,dominant,related,long,1451
6,dominant,related,long,1558
6,dominant,related,long,1649
6,dominant,related,short,620
6,dominant,related,short,726
6,dominant,related,short,739
6,dominant,related,short,790
6,dominant,related,short,925
6,dominant,related,short,
6,dominant,related,short,1252
6,dominant,related,short,1407
6,dominant,related,short,
6,dominant,unrelated,long,934
6,dominant,unrelated,long,993
6,dominant,unrelated,long,1054
6,dominant,unrelated,long,1234
6,dominant,unrelated,long,1259
6,dominant,unrelated,long,1471
6,dominant,unrelated,long,1568
6,dominant,unrelated,long,1607
6,dominant,unrelated,long,1631
6,dominant,unrelated,short,764
6,dominant,unrelated,short,
6,dominant,unrelated,short,925
6,dominant,unrelated,short,1308
6,dominant,unrelated,short,1362
6,dominant,unrelated,short,1372
6,dominant,unrelated,short,1508
6,dominant,unrelated,short,1580
6,dominant,unrelated,short,2405
6,filler,related,long,0
6,filler,related,long,622
6,filler,related,long,808
6,filler,related,long,889
6,filler,related,long,896
6,filler,related,long,909
6,filler,related,long,991
6,filler,related,long,
6,filler,related,long,1095
6,filler,related,long,1143
6,filler,related,long,1167
6,filler,related,long,1344
6,filler,related,long,1791
6,filler,related,long,
6,filler,related,long,
6,filler,related,short,726
6,filler,related,short,764
6,filler,related,short,772
6,filler,related,short,780
6,filler,related,short,816
6,filler,related,short,825
6,filler,related,short,835
6,filler,related,short,930
6,filler,related,short,1035
6,filler,related,short,1040
6,filler,related,short,1043
6,filler,related,short,1203
6,filler,related,short,1229
6,filler,related,short,1301
6,filler,related,short,1565
6,filler,unrelated,long,759
6,filler,unrelated,long,816
6,filler,unrelated,long,1024
6,filler,unrelated,long,1062
6,filler,unrelated,long,1080
6,filler,unrelated,long,1153
6,filler,unrelated,long,1227
6,filler,unrelated,long,1254
6,filler,unrelated,long,1294
6,filler,unrelated,long,1305
6,filler,unrelated,long,1341
6,filler,unrelated,long,1439
6,filler,unrelated,long,1447
6,filler,unrelated,long,1528
6,filler,unrelated,long,2153
6,filler,unrelated,short,804
6,filler,unrelated,short,861
6,filler,unrelated,short,882
6,filler,unrelated,short,882
6,filler,unrelated,short,973
6,filler,unrelated,short,
6,filler,unrelated,short,1021
6,filler,unrelated,short,1044
6,filler,unrelated,short,1045
6,filler,unrelated,short,1085
6,filler,unrelated,short,1094
6,filler,unrelated,short,1347
6,filler,unrelated,short,1410
6,filler,unrelated,short,1915
6,filler,unrelated,short,2227
6,subordinate,related,long,1
6,subordinate,related,long,577
6,subordinate,related,long,
6,subordinate,related,long,1014
6,subordinate,related,long,1192
6,subordinate,related,long,1304
